uid,city,y,x,GDP2010,GDP2011,GDP2012,GDP2013,Ename,Jan2010,Feb2010,Mar2010,Apr2010,May2010,Jun2010,Jul2010,Ang2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,Apr2011,May2011,Jun2011,Jul2011,Ang2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,Apr2012,May2012,Jun2012,Jul2012,Ang2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,Apr2013,May2013,Jun2013,Jul2013,Ang2013,Sep2013,Oct2013,Nov2013,Dec2013
1,Anyang,36.1000467,114.2060882,1311.3,1486,1592.9,1683.7,Anyang,468,149,197,322,228,407,292,1222,1203,807,389,787,1450,1624,1723,5125,4239,4463,3958,3923,5249,8130,2985,2976,4451,7988,8172,10329,6187,8094,5949,10857,12286,14344,5281,12466,15316,12048,15199,10887,21211,16520,14637,20566,12773,16560,15251,12416
2,Baoding,38.870698,115.1951959,2050.3,2449,2997,2680,Baoding,149,164,381,427,622,586,995,1041,1195,3207,1385,3326,5573,5050,7839,5602,9341,7728,14534,20551,14721,17650,6905,8826,5487,13271,10942,13084,16231,11157,15514,15481,12351,24456,9961,36106,38454,25807,24559,19731,26851,15615,22887,23790,11536,20005,19250,29899
3,Beijing,39.9375345,115.8369867,13777.94,16251,17801,19500.6,Beijing,5459,5739,11900,18778,16233,21897,37211,44692,38027,63045,42503,75880,86517,111015,114768,122350,182891,234653,613029,631312,270711,277575,218802,315631,557289,331516,367136,327649,303808,576894,482227,394741,369634,475687,665082,367768,309724,329352,599861,410587,395183,624325,353450,290527,479939,342388,327796,357461
4,Chenzhou,25.7768041,112.9171245,1081.76,1346,1517.3,1685.52,Chenzhou,55,81,289,473,265,210,395,528,475,774,444,899,1540,1638,1583,1682,5453,4549,3780,4760,4097,8651,5308,2885,7450,4184,7535,6576,6028,8995,7532,8517,6330,6503,5296,13915,9601,14499,8959,10743,7175,9055,12184,5693,8080,5103,4638,8043
5,Guangzhou,22.9890599,113.2669523,10604.48,12423,13501.21,15420.14,Guangzhou,2324,3486,5697,6029,9394,12879,14935,17261,28877,31302,54267,50997,71290,86006,92738,119467,148255,139505,327873,580181,232516,325504,429414,419741,938854,422387,365921,394881,451573,992723,326751,331134,367197,323950,447174,337818,291085,284229,874667,368008,401469,610373,432192,351780,561830,379959,443744,626786
6,Handan,36.6070008,114.3429453,2342.2,2789,3023.7,3061.5,Handan,133,234,320,432,521,461,597,664,843,1056,709,1210,2097,2459,3162,3162,4674,5139,6842,7376,7362,8571,4978,5873,9915,11958,7328,6355,12004,10785,8087,19565,13329,17534,15461,35534,41570,30042,31680,23607,28009,15644,32745,29286,16950,19932,16193,20494
7,Hebi,35.7528592,114.2287989,427,510,553,622,Hebi,4,13,17,48,28,56,60,66,75,82,61,119,286,369,432,457,944,593,788,944,952,962,667,560,678,792,1334,1104,1380,1249,1214,1267,1248,1112,1464,3096,1789,1677,1871,3145,2041,1409,1979,1296,1238,1162,1335,2257
8,Hengyang,26.8893203,112.3387275,1420.34,1734,1957.7,2169.44,Hengyang,111,129,179,301,249,288,514,704,905,1491,500,1460,2386,2509,3032,3083,5875,5871,6414,6002,6707,9525,5678,4488,12097,5898,8383,10706,8118,11617,7734,14931,13196,12270,14719,20521,19418,21468,11560,16254,13525,14110,22127,13138,13389,9490,5948,16887
9,Luohe,33.5886973,113.8835791,674,750,812,861,Luohe,34,44,65,207,147,110,152,184,203,257,119,227,644,720,1363,1242,1415,1247,1563,1837,3028,2062,1223,1058,1651,1629,5179,10257,5024,2283,2336,3909,2181,3794,3676,6833,5694,7314,3128,4210,6875,7126,8063,9249,11670,2640,2343,4818
10,Shaoguan,24.7877765,113.4647242,683.1,813,888.48,1010.07,Shaoguan,164,195,219,366,745,1148,1898,3482,5612,5725,2434,5971,8575,13678,8690,9834,11903,12441,64303,25624,18117,29258,28856,23819,61776,20414,26214,36660,24465,27305,28712,18252,33972,46365,21158,28385,24272,27443,22110,25608,18251,15166,26582,24532,14994,14192,26445,11130
11,Shenzhen,22.614262,114.0297637,9510.91,11505,12950.08,14500.23,Shenzhen,4550,2748,7204,7686,13211,18097,27974,25278,42031,34092,26843,56985,87031,119457,124709,138503,184970,192557,469856,1240462,221958,247195,216048,261747,994445,260891,342508,375879,373820,1015431,338884,286281,285401,437733,649971,389266,304180,230048,879090,305732,335843,559735,389598,304746,413888,309786,381808,528707
12,Shijiazhuang,38.0432545,114.224123,3401.02,4082,4760,4863.6,Shijiazhuang,248,320,737,692,702,910,1437,1572,2044,2625,2579,3228,4399,8460,6996,14956,10830,16667,18624,15688,19961,12973,9364,12296,7555,8665,12522,11924,19674,17471,25187,19318,15705,23190,19004,40673,47660,45876,54837,86871,124313,118767,77756,73659,96099,74688,79866,56206
13,Wuhan,30.567816,114.0201847,5515.76,6762,8003.82,9051.27,Wuhan,1126,1381,4017,3011,4942,4411,7154,12081,9352,13311,8898,25816,33782,34821,51523,47489,85596,134694,164665,76308,86521,77706,68999,81195,115197,87131,81771,116199,103034,164297,105027,94779,128661,166587,147731,192567,152493,122163,395414,258567,280032,409335,328203,228447,332490,255999,247528,550070
14,Xianning,29.8290932,114.1843293,520,640,761,872,Xianning,52,34,84,104,114,99,185,166,259,563,217,573,1177,1204,1202,1145,1121,2300,1554,1704,1871,3354,2569,5581,3364,2569,3735,4698,4516,2578,2537,4674,3799,4881,3775,4659,7196,2468,2593,2907,7905,6924,5335,7017,2678,4941,8013,4708
15,Xiaogan,30.9190709,113.7936281,800.67,958,1105.16,1238.93,Xiaogan,30,53,57,105,71,88,237,226,254,313,195,714,760,816,1066,1069,1326,1441,1771,2817,1999,4934,1352,1920,2252,4622,3683,6720,9217,2924,2659,3434,6996,5054,4143,6663,10857,8489,5562,6209,4671,2659,5609,3047,2851,13678,2382,4458
16,Xinxiang,35.2925157,113.745231,1181.45,1489,1618.9,1766.1,Xinxiang,91,84,172,339,209,255,365,625,563,681,372,735,1185,1528,2172,2872,4515,5671,4866,5040,7289,8609,4203,4782,4275,4892,9711,11942,14903,7932,7873,13883,21093,6701,7422,23760,34759,18253,11827,8637,18231,17836,23101,9611,22498,11242,17333,12282
17,Xinyang,32.1167089,113.8121321,1150,1257,1408.7,1581.16,Xinyang,81,119,170,364,224,281,819,686,910,776,346,1152,937,1454,3463,8087,6770,3928,10798,4233,6327,4364,6503,2366,5492,5967,11010,11529,10473,13118,5554,4692,7496,6135,5787,24236,31445,17677,17774,14917,13611,15875,17020,13266,14460,8568,12259,8409
18,Xingtai,37.0719043,114.2114194,1210.62,1428,1532,1604.6,Xingtai,51,70,253,538,298,348,272,453,493,448,310,569,720,935,1498,2536,1701,1727,2014,4473,2673,3060,2240,2229,2093,2599,6628,3258,3447,3453,4473,3485,4192,3093,7910,8451,16027,10998,14065,11203,12126,11594,14176,12498,10246,14234,16059,9952
19,Xuchang,34.0092082,113.6883411,1312.78,1588,1739,1903.3,Xuchang,49,55,103,171,132,173,203,224,444,579,252,428,899,939,1278,1178,1918,2363,4116,3440,7461,3111,4002,1806,6468,2673,14665,17448,17464,13604,11959,6609,5640,5540,3437,19325,11828,10690,10884,4364,6948,7787,7014,4866,7760,7464,3741,6768
20,Yueyang,29.3172136,112.8954588,1539.36,1899,2199.92,2430.52,Yueyang,74,127,132,199,230,347,430,636,678,973,491,1425,2963,2437,3449,3615,6529,11744,12869,6662,9590,12800,6014,3668,11329,4928,6184,11778,15954,15546,8266,12903,13323,12465,7614,20314,20253,11124,12429,16637,14368,15286,11031,12695,13097,13152,9336,10877
21,Changsha,28.1758442,112.7443962,4547.06,5619,6399.91,7153.13,Changsha,698,762,1472,1835,2505,2979,6225,8776,6882,10655,8761,10663,23724,18916,21488,26874,53577,57485,114433,59773,57274,65146,36917,42498,47182,46438,46888,65980,60684,69640,71848,64133,78598,135413,82912,83628,114886,84519,189441,121670,135236,191055,128037,118329,164880,158561,135728,195402
22,Zhenzhou,34.7422909,113.3829802,4002.9,4979,5700,6201.9,Zhenzhou,454,526,996,916,1365,1411,2691,4503,3909,4544,5415,5054,9106,11236,16598,17639,29403,32412,60302,40515,40541,38104,40822,55422,97522,30864,37515,68483,55331,118014,63828,48068,64224,75114,55973,75823,91519,87289,247274,140340,139569,188863,122255,97170,162233,113554,112537,90839
23,Zhuzhou,27.837946,113.0166883,1274.85,1564,1759.41,1948.01,Zhuzhou,69,82,119,275,261,323,552,662,735,1041,572,970,2861,2227,2648,4357,4015,4712,7195,6063,9892,9090,6469,7529,10408,7102,12980,19775,14469,11489,14625,10904,11993,16023,11139,11948,9804,11590,11661,11960,12756,17802,11286,12516,13190,8865,16431,15022
24,Zhumadian,32.9644791,113.7668139,1055.45,1244,1387,1498.13,Zhumadian,30,47,70,108,95,141,155,299,204,583,129,291,1043,591,889,777,972,1217,1962,1852,1705,2979,1473,1056,1505,1576,2068,2198,2785,2018,2819,2794,2213,2691,4005,11698,9411,11446,4113,7933,5698,9399,12555,9905,5262,6645,3403,8698
